board,winner
OOOXXXOOXOOXXX XXOOXOOOOOOXXOXOOXXXXOXXXOOXOOOXOO X OO XXXX XOXOOXXO XXO XOOOXXXO,0
XXOOOXOOO OXOXX XXOOO X XXOXXXOOOXXOXXXXO OOXXXOO XXOXOX XXXOXOOXOOOOXOOOOOXXXOOX,0
XXXXOOXXXOOX OX OXXXXOOXOOOXX   OOXXXXO XOOXO XXOOX XOOXOOOXOOOXXOO OXXOOXOX OOXX,1
XXOOX X OXOXXO OO   OOXXXOXXOOXXXOXX OXOXOOXXOX X OXXOXO XXXOOOX OOOOOXXOO XXO OO,0
XOX XXOOOXXXOOX XOOX OOOOO OXOOOXOO XXXXXXXXOXXOXOXOXO O  OOX  XOXOOXOXXOX  OXXOX,1
OOOOXXX OOXOOXOOXXXXXOX OXX XOOOOOOOOOXXXXOOXOXX O XOXOOOXOXO OXOXOO OXXXXXXXXOXX,0
XOXOXXXOO XOOXXOOOXOXXXOO XXOXOXOX  O OXOOOXOXXO XOXX   OOOO  OXXOXXOOXOOOX XX XX,0
XXOOXOOXOXXXXXXOOOX OOOOXXO OOO XOOXXXOOOXOXXXXOXOXXXOOXOOXOO OXOXOXX  XOOXXOX XO,0
OO OOXXO  O XXXXXXOXO    OXOXO XOOXXX XOOX XXXO  O OXX OOOX XXOOO X  XOO O X XOXO,1
XOXXXOXOXXXXOOXOXXOOXOXOXXXOOXOXXOOOOOXOOOOXOXXOOXXXXOXOXO OOXXXOOXXXXOOOXOOOXOOX,0
XOXXOXOOXXOXXOOXXOOXXOXXXOXOOXXOXOOOXXOXOOOXOOOOXXOXOXOXXXXXXOXXOOOOXXOOOXOXXOOXO,1
XXOOXOXXXOXXXXXOXXOXXXOOXXXOXOOXXOXXXOXOOXOOOOOXOOXOX OOOXOXOOO OOOXOXOXXOOXOXOXX,1
O OXOXOO OOOOXOOOX O OXXXX OOXXXOOX O OXOXXXXOOXXXXXOX OXXOXXO XXOXXOO XOX OO OXX,1
OXXXXXOO XXOX OOOOOXXOO  XXOOXXOXX XOXXOOOOXOXOXO XOOXXOOOXOO XOXOXOXOXXOXXXOOXXO,0
OOXXXOOOO OOOOOXX OXOOXO  XOXXXXOXOOXXX XOOXOXXOOOXOO XOXOX XOXX XXOOXXXO X XX OO,0
OXOXXXOXOO XXOXX XXOOOOXXOXOOO XOXOO XOOOOOOOXX XXXX XO XXXOOOXXXXXXOOXOO X OOOOX,0
XXOXOOX XXXOXXXXOOXOOOOOXXOOX XXOXXOOXXXOXOOOOO OOOOXX  XOXOOXXO XXOO XOXOOXOXOXX,0
XXOXXXOXOXX XXXOXOOXO XOX OOO XOOOXXOOX OOXOOOXXOXOOOXOOO OOXXOXXXOOOO XXXXOXXOXX,0
OXOO OOXOXOXOXXXXO X  XXXOOXXXXOOXOOOOO OXXXO  OXXOXOXXXXOOXOXXXO OOXXO XOXOXOOO ,1
OXOXXXXOOXOXOOXOOOXOXOOOOXOOXOOOOXXOXXXOOOOXOOXXXOOOOXXOOXXXXXXOXXXXXXOXOXXOXOOXX,1
XOXXOXOOOXOOOX OO  XXOXOOOXXXXXXXOOXOXXXXXXXO  OOXOOXXOXOO XXOXOOXOOOO XXXXOXOOOO,0
 OO  XXOOO    XOX OXXOXO XOX OOXOXO  X X OX  X OX XO   XOX  X OXOX OXO  XXOOXOXO ,1
XO XOXOXXOOXX XXOXOO XOXOOX XOOOXOXXX XXXO OOXOXOXXOOOOOOOXOXOOXXOOOOXXOXOXOX XXX,0
OXXXOXXOXO XXXXOOOXXOXXOOXOOXXXOOX XOXOX OOXXOXOXOXOXXOOXOO OOOXXOOXXOOOOXX O XOX,1
 XXXOOOXXOOOXXOOXOOOOOXXO OOOXOXXXXOOXXOOOXOXOXXXXXXXXOOXOOXO OXOX OOXOOXXXXXOOXX,1
O XOXOOOOOXOOXXOXX XOOXOXXO X O O OX XXXXOOO OXXXX XO  O X XOXXXXOX  OOXOOXOXOXO ,1
OO XX OO XXXOOXXXXXOXO    XOX XO XXX X OXXXXXX XOOOOOOOOO O OXOXXOOXXOOOXO OOOXOX,0
OOXXXXOOXXXOOXXXOXXOO XXXOOXO XXOOXOOOXOOXOOO XXXOXOXOOXXXXOXXOX OXXOOOOOOOOXXOXX,1
XOXOXXOXX OXOXOXXOOXXOOX XOOOXOOXXXOOOOOOOXOXOOXXOOXXOXXOXOOXOOOXXXXXOXX XXO OOXX,1
XX O OOOOX  OOXO OX XOOX O X XO OOXXXXOXXXXO XXX  X  OX  OXO OO  XXX OO XOX  O  O,1
XOOOOOOXOOOXXXXOOOXXOXXX XXOXXX XXXXXOOOOOOOXXOOOOOXOXXOXOXXXXOXOXXXXOOXOO OOXOXO,0
OOXOXXOOOXXOX OOOX XOXOOOXOXO XXXOXO OXOOXXX OXOXXOOOO  OXXOX OXXOXXXXXXXXOXXOOOO,1
OXXOXX OOXXXO  OOXOXOOOOX OOOX OXOOXXOOXX OOXXXXOXXOXXXOXX XO O OOOXOXOXXOXXOOXXO,0
OOOOXXXXXOOXX XOOXOOXXO OOXO  XXOOXXXO OXOO XOXXXOO XXOOOXOXXXXXXXOOOOOOXX XO O X,1
X    OXXO OOOXXOOX X  XOXXO XOX  XXOOOXOOOXOO XXX XXOO O X XXOO  XXO XO  XOOXOXO ,1
OXXOOOO XO   XXXXOOO  OXXXOX OOOXOXOOOXOOOOOX XO  XO XO XOO  XX X XXXOXXXXOX OXOX,0
OXOXXXXXO XXOOOXOOXOOX OOXXO  XXOXOOOXXOXXXXXXXOOOOOOXOXXXOOOXXXOOXOOOXXXOXOO OXO,0
XXXXOXOOX O XXOXOXOOO XO  OOOOXOX OXOO XOOXOXOX XXXOXXOOXXOOXXXX OXXXO XXO OOO OX,1
XOOXXOXOOOXXXXXXOOXXO OOOO X OOOXOXOXX XXO  XOXXX XOXOOXOXXOXOXXXXXOOXOOOOOXO OXO,1
XOOXOOOOOOOXXOXOXOXOOOOXOXXOOOXO XXXOXXXXOOOXXOXOXOOXXXXXXXOXXOOXOXXOOOOXOOOXXXXX,0
 OXXXXXXXX OXXOO  XXXOXOXOX XOOOOOOOXXOXO  O OOOO  XXOOOOXX OXXOXOXO OXX XO XOO X,0
OOO XXOO XOOOXXXXO OXOOOXXOXXXOOOOOXOXOXOXOXOXXXXO XOOOOXOOXX  XXXXXOXOO OOXXOXXX,0
XXXOX XXOXOXXOOX XXOXX X OXOXO OXX XOOOOOXXOOXOOXXOXO OOOOX  OXOX XOO  XOO X X  O,1
XXOOXOOOOOOXOOOXOOOXOOXXXXO XXOO OXOXOXXXOOXXXXOOXXO XXXXXXXOOOOXXOXO XXOOOO  X X,0
O   OOOX O  XXXX OOXOXX X OXXX OXOOOXXO XO  XOXXXXOOX OOX OO XX OXO  XX OXOXXOOOO,1
XXXOOXOX OOXOXXXOOOXXXOOXX XOXOOOO XOOO OXXXOOXXXOOOO  XOO X OXOXOXOOXOX XOXXOXXX,0
   X OO XOX XX OOXOXX O O OOOXXXXOXXOO X   OX XXOOXXOOX  X XO XXXOOX OX OOOOOOOXX,0
OX OO  OXXOOXOXXOOXOXXOXOXXOOXOOOXOXXX XXOXXOOXXXOXOXOOXXO  OXXOOXXXXXOO OOXOOXOO,0
X XOO XO OXOXO XOOOXOOOXOXOOOX OXOOO  XXOOOXO X X X    XOXX O  OXOXXXX OX OOXXXXX,0
XOOO XXXOOXO OXXXXXXOOXOXXXOXOOOXOXXXOOXO XXOXXOOOXXOOOXOXXOXXXOXXOXOXOXOOOXOOOO ,1
OX X XX  O OOXXOOOO X X OXX XOXOOOOXO XXOO XX OXO X   OX  OX OOXX   XX XOX OOXOOX,1
XXOOXOXOOOOOO  XO  XXXO XXOX X XOX XOOOOOXOXXXOXXXOO OOX XOX OXOXXX OOOXOXXX OX O,1
OXOOO XOOXOOXOXXOXXOXXXOOXXXOO OOXXXOOOOXOXXXOXX  XOXXOOXXXXXXOOOOXOXOOXOXX OOOXO,0
XOOXXXOXXOOXXXOOXXOOXXXXOXXOOOOOOOXXXOOXXXOOXXO OOXXOXXXOOXXOOOXOOOXOXXXOOOOXXOOX,0
 XO XO XXXOO  O OXOOOO OOX O OXX XO OX XXXOOO XXO XXOX XOO X OOX  XX X XOXOX XO  ,1
OOOOOOOOXXXOXXXXOOOXOXOOOXOOOXOXOOXOXXX XXOXOXXOOXOXXXXOXXOXXOOOOOXXXOXXXXOXOXOOX,0
  XXXOOOXXOOXOX XOOOXOX O O XO  OOXOOXX XXXO XOX OOX O XOOXXOXOOX OXXXOOX XO XX  ,1
OXOXXOOOX XOOXOXXXX   OXXOXXOXOOXOOOXOXOXXXXOXOOOOXXOOXOOXXOOO XX OOXOOXXXOXXXOOX,1
XOXXX XXOOOOOOOOXXOOXXXXXX XX XXXOX XOOXXXXXOO XOOXOO O XOOOXOOXXO XOOO XXOOOOXO ,1
 XOXXXO   XO O OXX  O OXX  OOO XXOXXXXXOXOOOXX OX XXOOOXOOO O XOOX OOXOX  OXXXOOX,0
OXXO XXO   XXOOXXOXXOXOOOOXOOXXOOOXXXX XX OXX OOX  O   OXXXOO XOOXXXOOXO OXOXOOOX,1
 OOOXOO X XOXX  XOOXX XXXO XOOOO XXOXOX  XOXXOOOXXX OX OOXO O O XOX  OX  XXOO OXX,1
XXXXXOXOOXOOOOXXXXOOXXOOOXXOOOOXOXXOOXOXXXOOXOX XXOXOOOXOOXX OXOOXOXOOOXXO X XXXO,1
XOXO  XXX OXXO XO XXXXOOOXXXOXXXXXO XXXOO XOXOXOOOOXOOXOXOOXO  OXO OOOOXXXOXO OOO,0
XXOXOOOOOX XOXOOXXXO XOOXO XXXXOOXXOXXXOOOOXOXOXOXXOOOOOXXXXXXOOXOXXOXOXOOXXOOX O,1
OXOOOXOOOXXO XOOXXOXXOXOXOOOO XO OOXXXXXXOO OXXOOXXOOXXXX XOXXOX XOOXXOXOXXXOOOOX,1
OXOXO O OX XOOOOX O XXXOXXOXO XOXO XXO X XOOOXOXXO   XOXOO XOXOOXXXO XXXOXOO XXO ,1
OXOOXOX OOOOOXXXXX OOXXOXXOOOOXOOOOOOOXXXXO XXXOOXOOOXXXOXXXX XX OXXXXXOOOX  OO X,1
OXXXOOXXOOOOXOOXXOOOXXOOXXXXXOOXOOXXXXXXXXOXOXXOX XO OOOOOXXOXXOOOXOOXXOOOXXOOXXO,1
OOXXXXXXXXOXOOXXXXOOXO X XOOXOXOXXXX OOOXOOO OOXOX OXOXOX XOXOOXOOX XXOXXXOOOOOOO,0
 XOXO XOOXOXXXXOXX   OXXXO OOXOXOXXXXXOOOXOXX OX O X  OXO O OOXOXOXOO OO O OO XXX,0
OX XOOOXXXOX XOXOOOOXXOOXXO OXOXOOXXXOOXXOOX XOOOXXOX XO OXXXXXXXOOOOOXOOOXXXXXOO,1
OOXOOXOXXOOXXXXOXX OO OO OXX OOOO OXXXXXOOXXXXX XOOOOXOOO XOOXX O XO XXOXXO XOXX ,1
    O  XOXOX  XOOXOOO XXOXX O OX O XXO OXO  XO OOO XO XOXX X XOOXX X    O  O  X X,0
OOXOOXXOOXXXXXXXXXXOOOOOXXXOX OOOOXOXOOXXOXXXXO XOOOXXXO OOOXXXOOXOO XOOXXXOOOXXO,1
OOXXX O XOXOO XOXXXXO OOOXOXO OOOXXOOXXXXX OO OXXXOXXXOX OOOX X XO OXOXOOXXXOOXO ,1
OXOOOOXXOOOX OOOO XXOOXOO XOXXOXO OXOXOX XXX OXXXXXXXXXXOOO OXXXOXOO OOX OOOXXXOX,0
OOXOOOXXOXOXXXOOXXXXOXOXOOOXOXXOXOOXOOXXXOOOOXXXXXXXXXOXXOOXOXXOOOOXOOOXOXXXOOOOX,1
OOOXOX XXXXOOXOXOOOOOOXXXXOOXXXXOOXOX OOOXXOXXOOOOXXX XOX OOXOXX XXOOOXXXXXOXOO O,1
OXXXXOOOOOOOXOXXOOXOOXOOOXOOOOOOXXOXOXOXXOOXXOOOXOXXXXOXOXXOXXXXXXXXXXOOOXXOO XOX,0
OXOOOOXXOXOX XOXOOX O  XXXOXXOOXXOXXOXOXXOXOOOXOOO X OOXXXOXXXOOOOO XXO XXOXOOXXX,1
 OX X XOOOOXXXOXO XOXXOOXOXOXXOOXOO OOOXOXXXOXXXOXXOOOXXXOOOXXXXOXXOOOOXOXOXXOOXO,0
OXOXOXOOOXOXXXXXOOXXXXXOX X OXOO OXOOOOOOXXOOXXOOX XOXOXOXOXOXOXO XXOXXXOOOOOOXXX,0
  XX  XXXXOOO OXXX OXXXO O OO OO XXXXOOO XX X OX OOO OO OOX OOXOOXX O X  OX XOX X,0
XOOOXXOXOXOXXXOXXOOXXXXXOOXX XOOXOXOXOOOXXOXOOXOOXOXOOOXXOO XOXX OOOOX  XXOOXOXXO,0
XXX X OXOX   O  X OX X OOOO OXO O  O   XOXO   XOXOOXX  XXOXXOOXO O OXOX OO  XXOXX,0
OXOOX XOOOXX X XO  OXXOXX OO XOXOXXOOXXX X XX XOO OXOOXOXOOXO XOOOXXOXO O OOO XXX,0
 X O X  OOXOXXOXOXXXXOOOXXOXX  OOOXXOXOOO OXXXOXXXO XOXOO XOOOXO XXOOXXOXX OOO XO,0
O OOXXXOO OOOOOXXOXOXOXXXOXXOXOO XOXOXXXXOO XXXO OXX XO OOOOOOXXOXOXOXXXOXXXXOXOO,0
X OX X XOO OOOX XXOOOXOXXXXOOXOXOOXOOX  XO XOO OOOOX  XXOOO XXXXOXOX OX XXXOXXXOO,1
XXOOXXOXOXXOXXOXXOOXOXOOOXXOOXOXXOXXOOOOXOX OXX XOOOOOOXXXXXOXXXOOXOOOOOXXXXXOOO ,0
OXOOOOOOXOXXXOXOXOXOOOXXOXOOXXOXOXOXOXOOOOXOXXOXOXX X OOOXOXXOXXXOOXXOOOXOXXXXXXX,1
 XXXO OOXXOXXX OOXO  X  XXXOX OOXO X X OXX XO OO XO OO  XOXXO XX XOOXOOOOO O XXO ,1
 OX OXOOX   OXOOX OOXXXOO  XOOXX OO O X XO OXOXOXXXX   O  O XOXO OOXXX  XXO XXOX ,1
XXOOO OOOXOOXOOO XOXXOOX X XXXOOXOX XXXXOOOXXXXOXOXOO XOOOOOXX XXXOOOX XOX OOXXOX,0
X XOOX X OOOOX OOXXXXXO OOOOOXXO XXXOO XXOXOXOXOXXX XXXOOOOOXOXOXXXXOXXOOO OXX OO,1
XXOXOOOXXXOXXO O XOXXOXXOOOOOO XOOXOXXO OOXXOO XXXOOXXXXO XOOXO OO  OXO XO X  XXX,0
O  XXOXOXXOXOO OXOX XXOOOXXO XXO OOXOOXX O XXOOX XXOXOOXXXXXX OOOOXOOOO  XX OX XO,1
OXXXXOOXOXXOXOO XXOXXX X XXOOOOXXOXOOOO OOXO XXXXOXOOO OOOXXXXOOXOXOOXOXXOXOXOOXX,1
XOOOXXOOXOOOOXOXXOXOXXXOXXX XXOX OXOOXOXXOXOXXOOXOOOXOXOXOOOXOXXXXOOXXOOXXOXOOXXO,1
X   XOOXXXOOX  XO O X X XOOXXXXX OOOOXO XOXO OO X OOOXOXXOO OXOOXXXOXXO  OXO XOXX,1
 XOXOXXOO OO OX XXXXXOXOOOOO XX OXXXXXO XOX XXX OO XO OX O XXOOOOO O OXOXO X O X ,0
OXOXOXOXXOOXOXXX OOXXXOOXOOOXOOOOOXXXOOXOX XOXOXXOXXOOOOXXOOXOXXOX OOXXOXXXOXXOOX,0
X XO X OXXOXOOOOOO XOOXOOXO XXOXO XXXOOO  OXO OX XXO XOXXOX XXX XXXX    XOOOOOOXO,0
XOXOOXOO XOXXOOXOXXOOXXXOOOXOX XXOOOXXOOOXOOXXXXXXO OOO  OXOXXXXXOXXXXOOXXX OOOOO,1
XOOOXXXOOOOXXXXOXXXOXOOOOOOXOXXXXXXXOOOOOXOXOXOXOXXXOOXXOOXXOOXOXXOOXOOXOXOXXXOOX,1
OOXOOXXXXXOXOOOXOOOXOOOXXXXOOOXXOOOXXXOOOXOXOXOXXXOOXXXOXOOXXXXXXOOOXXOOOXOXOOXXX,1
OXXXOOXOOXOXXOXXXOOXXXOXOOOXOOOXOXOXOOOXXOXOOXXOOXXOXXXOXXOOXXXOOOXOXXOOXOXOOXXXO,1
 XXOXOOOOXXXOO XXOXXOXOOOXOXXXOXOXXOXXOOOXXXXOOXOXXOOXOOOOOOXXOOXOOO  XOXOX XXXXO,0
OOXOXXXXO OOOOOX X XXOOOOXOOXOXXXOOXOX XXXXXO O OXO   O OXOO X OOOXOOXXXXX  XO XX,0
OXOXOXOOXXX  OXXOOXOOX  O  OX XOXXOOOXX OX OOOXXOXXXOXOXXOXOOXXOOOOOXOOXXOX XXX O,0
XOOOOOX XO OXXO OO XXXOOOOOOXXXXOXXOOOOOX XXXXOOXXXXOOXOOOXOOX  XXOXXOXX XOXXOOX ,0
OOXXO XXOOXXXOXOOOXOOOOOXXXOOOOXXXXXXOOXOOOXXOXOXXOXOO XXOOXOOXXXXOOOXXXXOOXXO XO,0
 XXO  O XXOXOOXOXOXX OO XOO XOO XXOOOXXX O O OXOX OOXOXX XOXXOXX OXXOXOXOO OXX OX,1
 OXOXXOXXOOOOOXO XOXOX   XOXOOXXOXO XOOXXXOX XXO OOOXOOXOOOXXXXXOX OO XOXO X XO X,0
XOXXOOXOOO OXXXXXXO OX  O OOX XXXXOXXXOOOXOOOXXOXOXXXX OX XXX O OOOOOXOOOXXXOXOOO,1
XOXXOOXX XO XXXOOXX X OXXX OXOOOOOXXO OXOXXXOOOOOXOXOOXXOXXXOOOO OX XXXXOXXOOOOXO,1
OOXOXOXOOOXXXOXOOOXXXOXXOOXOXOOOOXOOOOXOXXX   OX O OXOXOXOOXXX XXXXXXOXXOOOOXX OX,0
XOXXOO OOOXXXXXXOXXOOXXXXOOXOOXO XXX XX OOXXXXOOXOO OOXXXXOXO O OX OXOXOOXOOOXOOO,1
XOX  XOX  X XO XOXO  XOOXXXXOOO  X XO XOOXOXO OO    XOOOOX  XXXO OO O  X OXO XXX ,1
OXXOOXOXOOXXXXOOXOOOOXXXOXOXOXOXOOXXXO OXXXXOOXXOOOXXXOXX XOXOOOOOOXXXOOXXOXOOOXX,1
XOOOOOXXXOXXXOOOXXOOOOXOXXX OXOOOXOXOOXXXOXOXXOXOOXOXOOOXXOOXOXOXXOO XXXXOXOXXOXX,1
OXOO O X OX  XOOOX  XX OOXO  X OXOXOXOXXOXOOXXOOOXOOXOO XXXX OXXXO XXXOOXOXOOX XO,0
 XXOOOXXXOOOXXOOXOXOOOOXXOXX OOXX OOXOOOXXXO  XXXOXOOXXXXOOXXXXOOOXX  XXOOXO OXOO,1
OO O X XX XO O   XXXOOX XO  XXXXXOOXXX XOXO OO X OOOO   OOX OXXOOX  OOXXOX XXOOO ,0
OXXXXXXOXX OOO OO XOOXOX OOO OXO OXXOXX XOOXO XX OX  OO OO XXOXOOXX OXX OX  X  OX,0
OXOOXXXXXOXXXXOOOOOXXOXXXXOOOXXX OOOOOXOXOXXOOOXXXOOX OXX XXOOXXXOXXXOOOOOOOOOOXX,0
XOXXOO OOXOXOOOO X XOOOXXXOOXXXOOX XOXX XOO X  XOOXX OXOXXXXO OO   OXXX XXOXOXOOO,1
XXOOXX OOXOOOOX  XX OXXO  XO  X  OOOXOXXO X XXOXO XOOOXXXXXOOOXXOOXXXOXOO O OX XO,1
 XXXXOOOOOOOO XOX XO O OOOXO XXO OX O OOXO XXOOXXOXOOXOXXXXXXXXXOOOXXX  XXO OOXXO,0
XOXX OX XOXOO   X X    OXXX X  OX X  X OOOXXXOOOX OOOOO   OXO OOXX      OXXXO OXO,0
XXXOOX XOXOXXXOOOXOOOOO OO OXXXOOXOXOXX OX XOXOXXXOOXXOXOOXX    XOXXOXXOOO  OX  O,0
OXXOXXXOXXOXOXXOO  XOOOXXXXXXXXOXXOX OXOOOO XOOO OO O  OOX XXXXXOOOOOOOOOXXXXXOXO,0
 OOOXOXOOXXOXX XOXOOOXOOXXXXOOOXXOOXOXXOOXOOXOXXXOOXXOOOOOXXXOOOXXOOXXOXXXXXXOXOX,1
OOXOOXOOXXXOXOXX OXOXOXXXXOXXXXXOXXXOOOOXXXOOOXOOXOOOXOXOXOOXOXXXOOOXXOOXOXOOOOXX,0
OO X  OOOXXXX OOXOOXXXOX OXOOOOOXXXXOOXXX XXXO O OXXXXOXXX OO OOOOX XOOXOXXXXOOOO,0
 OOX XXXOOOOXXO OOO XXOXOXXOOXXX OX OOXXXXXXXXOXXXXOOO XOOOXXOXOXOOOXOOXX XOOOOOX,1
X  XXOOX  OOX  OOX OXXX XOOXOXOXOOOXOOOOOXOXOXOXXXX OXX    O XOX  XXOXOOOOOXXXX O,0
OOOXXXOXXXXOXXXOOXOXOX XOOOXXXX XOOXOXOOOXXXOOOXOOXXXXXOOXXOXOXOOXOXOOOOOOXOOOXXX,1
OOXOOX OXXXXXXXXOXXO XOOXXOOXXXXOX OOXOXXOOXXOXOOXOXOOOXOOOOXXXOXOOXOOX XOOO XX O,1
 OOXXXXO XOXOOOXOXXOOOXOX XOX XOOXXOXXXXOXOOXXO OXXOXOO XO XX OXXOO XXOOOXXOOOOXO,0
XXXXXX XXXXXOOXXXOXXOOOOOOOXXOOOXOXOOX O XOOO XXOOXXXXXOOOOXX OXOOXOXOXOOXOOOOXOX,0
XXXOOXOOXOXOOOXOX OOXXXOOXO OO X X XXXXOX OXXOOOOXXXOXXOOOOOXXOOOXXOXXXOOO XX XXO,1
XXXXOXXOOOXOOOXOOOOXOOX OOOXXOXOOXXXOXXOXXXXXOXOXOXXOXXO OOOOXOX OOXOOXXXOXX OXXO,1
OXXOXXOXXOXXXOXOXOOOXOXOOXXXOXXOXOXXOOXOOX OOXXOXXOOOOOXOOXOOOXXOXXOOXXOXOXOXXO X,1
XXXOOXXOXOXXXOXXOOOXXXOXXXXXXO OOXXXOXXOXXOXOXOXOXOOOOO OOXXXOOOOOX OOOX OX X OOO,1
XOO XXO OXXXXXOXXXOOXXXOX OOXXXOXOXOXXXOOOXO OXOOOOOOO XXOXOXXOOXOOOXOXOOXXXOOX X,1
XOXOXXXOX XXXXOXO XXOXXOXOOOXOOOX OO O  OX OXOO  OX XOO XOOXOX XXXOOX  X X OX  OO,1
  OXX OXXXXXX OXXOXXOOOXOO  XOOX  XO  X XO XX O  X OOOX XXOXO XOX    OXOOOOOOOX O,0
XXX XO OOXXOXXXOOOOOXXOXOOOXXXOOXXXXOOOXOOOOO XOOOXXXX X XXXXOOXOOOXOXOXXXOXOOOOX,0
 XOX XOOOOO  XXXOX  OO OXOOO O OX OO  OXXXOO OXXXXXOXOOXO   XX XXX OXXXOXXOXX  OO,1
OXOXXXXOXXXOXOO OOX OXOXOXOOXOXOXOOOOXOXXXOXOXOXXOOOOOXXOO XXOXXXXOOXXO XOXOXXOXO,1
XOOXXOXXXXXOXOOOXOOOOO XOOOOXOXOOOXXXXOXXXXOXXOXXXXOXOXXOOOOOXXXOXOXOOOXOOOXOOXXX,0
