board,winner
OXXXOXXOO,1
OX OXOX X,1
XOOOXOXX ,0
OX XXOOX ,1
 OX OXOXX,1
OX XO XOX,1
OOX X OXX,1
 XOXO O X,0
OXXOOOX X,0
OXXOOXXXO,1
XO XXOXO ,1
XOOOXOXX ,0
X OOOXXXO,0
XXOOXOOXX,1
 XOOX  X ,1
OXXXOXOOX,1
 XX X OOO,0
 XOXO XOX,1
OXXOXXOOX,1
OOO XXX  ,0
OXX X OXO,1
OXXX OX O,1
  X XO XO,1
 X OX XO ,1
OOXXOOX X,0
OXOXOOXXX,1
OXX X XOO,1
O XOX OXX,1
OXO X X  ,1
OOOXXXO X,0
X OXOXO  ,0
OXXXOOXOX,1
O XOXXX O,1
OXXXXOOXO,1
OOXXXO X ,1
XOXX XOOO,0
OXXOXXOOX,1
 XO XOOXX,1
OX XXXOOO,0
OX OXXO X,1
 OXOXXXO ,1
OXOXXXOXO,1
XXOOO  X ,0
OXOOXXX  ,1
 X XOOX  ,1
OXXXOOOX ,0
XOXXOOXOX,1
OOXXOOXX ,0
OOXOXXXOX,1
XOX XO XO,1
OOXXXXXOO,1
OXXOXXOXO,1
OOXXXXOOX,1
XOOOX  X ,0
OX OX X  ,1
XOXXOXOOX,1
XOOXOXXOX,1
O XXOX OX,1
OXO X  X ,1
OXO XX OX,1
XO X  X O,1
OOXXXOXOX,1
OX XOOXX ,1
O XOOXXX ,1
OOXXOOXX ,0
XOOOXO XX,0
XXXXOOXOO,1
OOX X  X ,1
XOXX OOOX,0
 OOOXX  X,0
 XXOXO XO,1
OXXOOXXOX,1
XOXOOXXXO,1
OXOXOXXXO,1
XO OOOXXX,0
 XXXOOX O,1
XOXXOXOXO,1
XXOXXOOXO,1
XOOXOOXXX,1
OXOXXXOOX,1
OO XOOXXX,0
XOXXOOXXO,1
OXXOOXOXX,1
XO XO XXO,1
XOX XOX O,1
OXOXOOXXX,1
OOXXOOX X,0
XXOOX XO ,1
XOOO XOXX,0
XXXOXOOXO,1
OXXOOXXXO,1
XOXOXXXOO,1
 OOOXXXXO,0
XXXXOOXOO,1
XOOXXXOOX,1
OXOXXXXOO,1
O X X X O,1
XOXOXOXXO,1
OXXXXOOO ,0
OOXXOX  X,1
XO X OX  ,1
 XXXOOXO ,1
XOXOOOX X,0
XX XOOOOX,0
 OOOX XX ,0
 XOXOXX O,1
OOOXX OXX,0
OXXXXOOXO,1
OX  XXOXO,1
O XOXOXX ,1
OOXO XX X,1
XXXOOOXO ,0
 OX XXXOO,1
O X X XO ,1
  XOXXXOO,1
X XOXXOOO,0
XO XXXOOO,0
XOX XOOOX,0
OXXOX XO ,1
 XOOOX  X,0
 X X OX O,1
XOX XOOOX,0
 XXOOOOXX,0
OXXXOXXOO,1
OX XO XXO,1
 XOXOXO  ,0
XX OOXXOO,0
OXXOOXXXO,1
 XOXO XXO,1
 XOXO OX ,0
OOOXX XXO,0
XOXOXOXXO,1
OOO XXOXX,0
XXOXOOO X,0
XOOXXXXOO,1
O XOXOXX ,1
XXXOOXOOX,1
XOOOXX   ,0
 OX OXXXO,1
XOX  XOXO,1
OX XOOOXX,0
XOOXOXXXO,1
 X OXXXOO,1
OX X  XO ,1
OXXX OXO ,1
XOOX  XXO,1
XOOXXOXXO,1
 OOOXX  X,0
XOXXOOXOX,1
OXXOXXXOO,1
XOXOOXOXX,1
 OOOXOXXX,0
 OX X  XO,1
O XOXOX X,1
OXOXOOXXX,1
O XOXO XX,1
X  XO X O,1
OXOXOXXXO,1
XXOOXXXOO,1
  X XO XO,1
OXXXOOX  ,1
   XXOOOX,0
OOXXXXXOO,1
XXOOXXOXO,1
XXXO XOOO,0
XXXOXOOXO,1
XOOXXXOXO,1
O X X XO ,1
 XO OXOX ,0
 X XO XO ,1
 XXOOOXXO,0
 XXXOOOOX,0
XOXXOXOXO,1
XOOXOXXOX,1
OOOX OXXX,0
O XXXXOOO,0
OOXOXXXXO,1
XOOXXXXOO,1
XXOXOXOO ,0
  XOXO X ,1
OXOXXXOOX,1
XXXOOO OX,0
XOXXOXOOX,1
OOXXXXOOX,1
OOXXOXOXX,1
XXXOOXOOX,1
XOOXXOXXO,1
OXOXOXXOX,1
OXX OX XO,1
OXXXOXOXO,1
XXOOOXXO ,0
OOX XXO X,1
XXOXOOXXO,1
 OXOX OXX,1
OX XO XOX,1
OOO XXOXX,0
 OXXXOOOX,0
OOX  XOXX,1
OXOXXOXOX,1
OXXXOXOOX,1
O XX XOOX,1
 XXOOX XO,1
OXO XXX O,1
XO XO XXO,1
XX OOXXOO,0
 X  XOOX ,1
XXOOOO XX,0
OOXXXOOXX,1
 OXXXO XO,1
XOOOOXX X,0
OXXXO XO ,1
  XOX X O,1
OXXOOXOXX,1
XOX XXOOO,0
OOX XO XX,1
 XXOOO  X,0
 OXXXOXO ,1
OXOXOXXXO,1
XOO OXOXX,0
X OXO XOX,1
X  XOOOX ,0
 XO XOXXO,1
OOOXX X  ,0
XX OOXXOO,0
 X XOXXOO,1
XXXOXOOXO,1
O XOOXX X,1
OOOO XXXX,0
XXXXOOOO ,0
OOXXOXXXO,1
OXXOOXXXO,1
X X OOO X,0
XOOXXOXOX,1
  XO XO X,1
XOOO XXXO,0
XOXOOXXOX,1
OXOXXXOOX,1
OXX XXOOO,0
OXXOXOXOX,1
XOOXOXXXO,1
O XOOXX X,1
O XOOXXX ,1
 OXOOXX X,1
XX OOOXXO,0
OXXXOXXOO,1
XX  XOXOO,1
XOXXXOOXO,1
XOOX OXX ,1
 OXO XOXX,1
XXOOXOXXO,1
OXXOOXOXX,1
 XOOXXXO ,1
XOXX OXO ,1
 X XX OOO,0
OXXOXOXOX,1
 XOXO XOX,1
XOXX OX O,1
XOOOX X  ,0
XOXOOXXXO,1
OOX  X X ,1
   OOOXXX,0
OX  XOOXX,1
XOOXXOXXO,1
  X OX OX,1
 XXXOXOOO,0
XXOX XOOO,0
 OX X XO ,1
OOO XXXXO,0
X  XOOX  ,1
  XO XO X,1
X O OXO X,0
XOOXX OX ,1
XXOXXOOXO,1
OXXOOO XX,0
XXOOXOXOX,1
  OOOXXX ,0
OXXXOXOXO,1
OXO XXXO ,1
OX  XXXOO,1
XXOXOOO X,0
OOOXXXOX ,0
XOOXXXOOX,1
 XXXOOOXO,0
OOO X XX ,0
 X OXOX  ,1
  X XO XO,1
X OOOXXXO,0
X OXOOXX ,1
OXOXXOOXX,1
OX XO XXO,1
XOXOOXXOX,1
  XOXOXOX,1
OOXOXX  X,1
OXXOXXOOX,1
X O OXO X,0
OXOOXXOXX,1
XXOOXXOOX,1
 OOXOXOXX,0
XXOOOXO X,0
OXXOOO XX,0
  XOXOXOX,1
 OXXXOOOX,0
OXOX OX X,1
OXX XXOOO,0
XOXOOXXOX,1
OXXOXXOXO,1
XX OOXXOO,0
 OX XO X ,1
O XOOOXXX,0
X XOOXXOO,0
OOXXOOXX ,0
XXOXXOXOO,1
OOOXXXXO ,0
XXXOOOXO ,0
XOOXXXOXO,1
O XX XOOX,1
XOXXOXXOO,1
XOXO XO X,1
 OXXOXO X,1
OXXOOXXOX,1
XXOOXXXOO,1
XXXO OOOX,0
  X XOXO ,1
XOXOOXXXO,1
XOX  XOXO,1
XOXXXOOO ,0
XXXOOOXO ,0
 OXXXXOOO,0
XXXOO XOO,0
OX XXOOOX,0
XXOXOXXOO,1
X OXO X  ,1
XOXOXOOXX,1
XXOXOOXXO,1
XOXOOX X ,1
OXXOOXXOX,1
XXOOO OXX,0
OXOXXXOXO,1
  XOOXXOX,1
OOO   XXX,0
 XOXXOX O,1
XX XOXOOO,0
XOOXXXXOO,1
XX OOOOXX,0
OXXOXOXXO,1
  O OXOXX,0
  XOX X O,1
XXO OXOOX,0
O X XOX  ,1
OOX XXO X,1
X X OXOXO,1
XXOOXXOOX,1
XXOOXOXOX,1
XO XX OXO,1
OXOXO XX ,1
OXOXXXOXO,1
OOOX XXXO,0
OXOOXOXXX,1
XXOXXOXOO,1
XO XX OXO,1
 OOOOXXXX,0
XOOXXXXOO,1
OOOXXOXX ,0
OOO  XXX ,0
XOOO XXOX,0
X OOOXOXX,0
XX XOXOOO,0
XXO OXO  ,0
XOXX OXO ,1
OOXXOXXXO,1
OOXXXXXOO,1
XXOOXXOOX,1
XOOXXXOXO,1
OOXOXXXXO,1
OOX  XXOX,1
O XXX OXO,1
XOXOOXOXX,1
  XO X OX,1
OXOXXXOOX,1
XOXXX OOO,0
XXOOXOOXX,1
XOOO   XX,0
 OX XOXOX,1
OXXOXXOXO,1
XOOOX XXO,0
OOX  X X ,1
OXOXXXOXO,1
XX XOOOXO,0
O X X X O,1
XOOOX OXX,0
OXO XXX O,1
XXOOXOXXO,1
OXXOXOXOX,1
OX X  XO ,1
XOXOXXXOO,1
X XXOOOOX,0
OXOOOXXX ,0
OOOXX X  ,0
X X OOO X,0
 X XXOXOO,1
 OXOXOXX ,1
XOXXXOOXO,1
XOXXOXXOO,1
XXXOX OOO,0
X OOOXXOX,0
OXXOOOXX ,0
O X XO X ,1
 OXXOOOXX,0
 X OX  XO,1
OXXXXOXOO,1
X X X OOO,0
XOXOXOXOX,1
OXOOO XXX,0
  X XOX O,1
 XOX OXXO,1
XOOXXOXXO,1
XXXOXOXOO,1
OXXOOXXOX,1
XOOOXXOX ,0
XXOXOXXOO,1
XOOXXXOXO,1
O XOOOXXX,0
XOXOXXOXO,1
XX OOXXOO,0
OX XO XXO,1
X X X OOO,0
XXXOOO XO,0
XOXXOOXXO,1
O XO X X ,1
OXXOOX  X,1
O X  XO X,1
XOOXO OXX,0
OXXOXXXOO,1
OXOOOX XX,0
OXXXOXXOO,1
OOXXOXXXO,1
OOOX  X X,0
OOXXXXXOO,1
XOOOXOX X,0
X  XOXXOO,1
OXXXOOXXO,1
OOO XOXXX,0
OXXOX XO ,1
OOXXXOXOX,1
OXXXOOO X,0
OOXXOXXOX,1
 XOX OX  ,1
X OXXXOOO,0
XOX OXOX ,1
 OXOXO XX,1
OXXOXXOXO,1
O OXOXOXX,0
XOOOO XXX,0
XOOO XX  ,0
OXXOOXXXO,1
XOXOXOXXO,1
XXOXXOOXO,1
 XX XOOO ,0
OOOXXXO X,0
OX  XOOXX,1
XOOXXXOXO,1
X OXXO XO,1
OOXXXXXOO,1
XXXOOXOXO,1
X XXOOOXO,0
OXOX OXX ,1
OXOXXXOOX,1
 X  OOOXX,0
XOO OXOXX,0
OXXXOXOOX,1
OOXOXOXXX,1
  XOOOX X,0
XXXOOXOXO,1
XOXXOXXOO,1
 XOOX X  ,1
OXOXXXOOX,1
OXXOXOXOX,1
XO X OXOX,1
X OXO XOX,1
XX OXOOX ,1
OOXXOXXXO,1
 X XXOOXO,1
OOXXXXOXO,1
XOXOOXXXO,1
 XXXOOOXO,0
OXOXXXOOX,1
OXOXXXOXO,1
XO XOOXX ,1
XXXXOOO O,0
OXO X OXX,1
OOXOOXXXX,1
XXOOXOXXO,1
OOXXXOOXX,1
OOOXO XXX,0
OOXXXOXXO,1
 X  X XOO,1
OOX XXO X,1
OX XOXX O,1
O OOOXXXX,0
 XOOX XXO,1
 OX X X O,1
XOXXOOOX ,0
OXO X  X ,1
OXXO XO X,1
O XXOXOX ,1
XXOOXXOXO,1
XXO XOXO ,1
OXOXXXXOO,1
XO OOOXXX,0
XOOXXOOXX,1
OOX  XXXO,1
XXOOXXXOO,1
X X XOOXO,1
OXOXXXOXO,1
XOXXXOOO ,0
XOXOXOOXX,1
XOXOXOOXX,1
XOOXOXXOX,1
XOOO XXXO,0
OOXXXOXXO,1
OXOOXXXXO,1
  XOXOXXO,1
OOX XX XO,1
OXXX OX O,1
XOOXXXOOX,1
XOOXOXXOX,1
OXXXOOX  ,1
OX OXXXO ,1
OOXOXXXXO,1
OOX X XOX,1
XXXXOOO O,0
X OOOX  X,0
OOXO XXX ,1
 OX X X O,1
  XOXOXXO,1
  XOOXXXO,1
XXOOXOOXX,1
XOXOXXOOX,1
XXOOOOXX ,0
O XXOX XO,1
XXO OXOOX,0
OXOXXXOXO,1
  XXOXOXO,1
OX  XO X ,1
  X XO XO,1
XXOXX OOO,0
OX XOXX O,1
XXXOOXOXO,1
OOXXXOXXO,1
 XOXOOX X,1
 OX X X O,1
XOXOXOXXO,1
O OOOXXXX,0
OXOOXOXXX,1
XXOOO X  ,0
   XXOOOX,0
 XX OOOX ,0
X OXO XXO,1
XXOXOXXOO,1
OXXXOOXXO,1
OXXXOXOOX,1
XOXOOXXXO,1
OOOXX X  ,0
X XOOO  X,0
XXXOXOXOO,1
XXX   OOO,0
X  XO XO ,1
XX OOO X ,0
XOOOOXX X,0
  XOOX  X,1
XOXXOXOXO,1
 OXXXO XO,1
X OX OXOX,1
XOXOXOXOX,1
OXXXOXXOO,1
 X X OOOX,0
O XOXX XO,1
OOOOXXX X,0
OXXOX XO ,1
 XOOXXXO ,1
XOOXXOX  ,1
XOXXXOXOO,1
XOOOXXOX ,0
XXXOXOOXO,1
XOOXXXOXO,1
XOXOOXOXX,1
XXXO OOOX,0
XXOXOOXXO,1
  XX XOOO,0
 XXXOOX O,1
 XO X  XO,1
OXX OX OX,1
OOXOOXXXX,1
O XX XOOX,1
X XOXXOOO,0
OX OXX OX,1
  X OX OX,1
OOOX XX  ,0
 X OXOX  ,1
OXOXXOXOX,1
 OXX XOXO,1
OXXXOXOXO,1
XXXOO XOO,0
 OOOXXXOX,0
OOOXXOX X,0
OX XX XOO,1
XOXOXOOXX,1
OOXXOXXOX,1
XXXOOX OO,0
XOXX OOOX,0
XXOOXXXOO,1
OX OXXO X,1
  XOOX  X,1
OX XO X  ,1
XOXXOOXOX,1
OOXXX OX ,1
XOOXO OXX,0
XX   OOOX,0
XXX OOOOX,0
XOOXXXXOO,1
XX XOXOOO,0
XX  XOOXO,1
XXOOO XOX,0
XOOXXXXOO,1
X XOOXOX ,1
OOXXXXOXO,1
 OX XOXOX,1
O X OX X ,1
XOOXXXOXO,1
XXOXOOXOX,1
XXXXOOXOO,1
XXXO OOOX,0
OXXXX OOO,0
OXXXOOXOX,1
XOOXXXXOO,1
OOOXXOX X,0
XOOXOXXXO,1
 X XXOOO ,0
OXOXXXXOO,1
XO XXXOOO,0
X OXO OX ,0
 OXXXOOOX,0
 OOO X XX,0
XOXOXOXOX,1
XOOXOXXXO,1
XOXOXXXOO,1
OXOOXXXOX,1
XXOOXXOOX,1
XOO OXOXX,0
XXOOXXOOX,1
OOXXXOXOX,1
 OXOXXXO ,1
 XOXXXOOO,0
X   XOOOX,0
XXOX OOOX,0
OXXXOOO X,0
OX OX OXX,1
XXO XXOOO,0
  XOX XO ,1
 OXOX OXX,1
 XOOOX X ,0
OXOXOXO X,0
OOOXXXO X,0
XOOO XX  ,0
OXX XOOOX,0
OXOOOXX X,0
XXO O O X,0
OOXXOXOXX,1
 OXXXOOOX,0
OXOXO OXX,0
X OOO  XX,0
  XXOXOOX,1
XXOX XOOO,0
 XOOOOXXX,0
 XO XOX  ,1
XO XO X  ,1
XXXO XOOO,0
   OOOXXX,0
XXOOOO XX,0
XOOXOXXXO,1
OOXXOXXOX,1
XXOOXOOXX,1
OXOXXXOOX,1
XOOXOXXXO,1
XOXOOXXXO,1
XOOXXXOXO,1
 X OOOXX ,0
X  XX OOO,0
 XO XXOXO,1
O XXXXOOO,0
XOXX XOOO,0
X  XXOOXO,1
 OX XOXOX,1
 XOXXXOOO,0
XOXXOXOXO,1
OXXOX X O,1
 X OOOXX ,0
OOXXOOX X,0
 OXOXOX X,1
OOX  X  X,1
 XX OOO X,0
XOXOOOXX ,0
XXXOOXOOX,1
OX OX OXX,1
XOXO X XO,1
XOO OXOXX,0
OXXXOXOXO,1
XOOOX XOX,0
OOXXOO XX,0
XOXOXOXOX,1
XOXXOXXOO,1
 XOX OX  ,1
XOXXOXOOX,1
XOXXOOXXO,1
XOOOOX XX,0
OOX X OXX,1
X  XXOOXO,1
OXXXOOXOX,1
 XOXOXOXO,0
OOX OXX X,1
XXXOXOOO ,0
X OOOXXXO,0
X  OOO XX,0
OXOOXXXXO,1
OOXXXXOXO,1
XXOOXOXOX,1
XX XOOOXO,0
XOXOXOOXX,1
 OXOXXX O,1
 X XOOX  ,1
OXOXOXXOX,1
XOXOXXOXO,1
XXOXXOOXO,1
XOXOXOXOX,1
XOOO X X ,0
XOOXXXOOX,1
OXXOOOX X,0
XXOOXXXOO,1
XXXOXOXOO,1
 XOX  XO ,1
O XXOXO X,1
XOXXXOOXO,1
XOOXXOXOX,1
XOOO  X X,0
OXXOXXXOO,1
OOXXXXOOX,1
OXXOOXXOX,1
O XO X X ,1
OXOXXXOOX,1
XXOXOXXOO,1
OXX  XOXO,1
OOOXOXXX ,0
 XXXOOXO ,1
OOXXXOOXX,1
X O OXO X,0
XXO XOOOX,0
XOXOOXOXX,1
XX  OOO X,0
 XOOX XXO,1
 OXXXOOOX,0
  XO X XO,1
OXOXXXOXO,1
OXXO X OX,1
OOXXOOXX ,0
OX XOOOXX,0
XOXOXOXXO,1
OXOOXXXOX,1
OOO X  XX,0
XOXXO X O,1
XOXOX  XO,1
OXOXXXXOO,1
 XOXO XXO,1
XOX XXOOO,0
X OOOXX  ,0
OXO X XXO,1
OX XO X  ,1
X  X OX O,1
XOXXOOXOX,1
X OOO X X,0
XXOOXOOXX,1
 XXOOOXOX,0
 OOOX  XX,0
OOX OXXX ,1
X  XO X O,1
 X OX XO ,1
O X XOXOX,1
X XOOO X ,0
XOOXOXXXO,1
XXO OXOOX,0
 OX OX X ,1
XOXXO X O,1
XXXOXOOO ,0
OXOOOXXX ,0
 OX OX  X,1
OXXXXOXOO,1
 XXOXOOX ,1
 XOOXX XO,1
OXXOXXOXO,1
 XOXOXOOX,0
OXXXOXOXO,1
XOOXXXOOX,1
XOXXOOOX ,0
  XOOX  X,1
 XOOX  X ,1
XOXXOOXOX,1
XOXXOOXXO,1
  X OX OX,1
X  XX OOO,0
OOXXOXXXO,1
 XOXOXXO ,1
X XX  OOO,0
XOXXOOXXO,1
OXXOOXXOX,1
OXOXXXOXO,1
OOOO XXXX,0
OOOXX XOX,0
XXOOO XOX,0
OOOXXXO X,0
 XXXOOOOX,0
XOXXOOXOX,1
  XOXOXOX,1
XOOXXXOOX,1
OOOXOXX X,0
X  XOOXOX,1
XXOXOXXOO,1
 XOOX XXO,1
XXXOXOOO ,0
O XO X X ,1
OXXXOOXOX,1
OXXOOXOXX,1
OX X OX  ,1
  X XO XO,1
XO XXO XO,1
OXXOOOX X,0
XOXOXOOXX,1
 XOXXXOOO,0
 XXOOXOX ,1
XOXOXOXXO,1
X XOOXXOO,0
XXXXOOXOO,1
XOOX XXO ,1
XXOXOOXXO,1
 XOXXOOOX,0
OXXOXOXXO,1
XX OOOXXO,0
XOXOXOOXX,1
O X X XO ,1
XX   OOOX,0
OXXOXXXOO,1
XOOX XX O,1
XXXOO XOO,0
OXX XOXO ,1
X XOXXOOO,0
XOOO XXOX,0
OOX XOXX ,1
X OXO X  ,1
OOOO XXXX,0
XOX OXO X,1
 X XXOOXO,1
XX OOXXOO,0
OOOXX XXO,0
OX OX XOX,1
XOOXXXOXO,1
OOXOXXXXO,1
  XOXOXOX,1
XOXXOXOXO,1
XOOXOOXXX,1
 OX XOX  ,1
O XO XXOX,1
XOXXOOXXO,1
XXXOXOXOO,1
XXXOOXOOX,1
XOX XOX O,1
XOXXOXOOX,1
XXXXOOXOO,1
XOOOXXXO ,0
OXOXXXOOX,1
OXXXOXXOO,1
XXOXOOXXO,1
OO XOOXXX,0
OXXXOOXOX,1
XOXOXXXOO,1
XXOXOOXOX,1
X  X OXO ,1
X OX  XO ,1
XXOXOXXOO,1
 OXXXOOOX,0
XOOXXXOOX,1
OXXXOOXOX,1
XOXOOXXOX,1
O OXOXOXX,0
XXOOXXOOX,1
OXO XOX X,1
OXOXXXOXO,1
OXXXOXOXO,1
X   XXOOO,0
O XO X X ,1
OOXOOXXXX,1
XOOO XOXX,0
OXOX OX X,1
 X XO XO ,1
 XOXOXOXO,0
X XXO XOO,1
 XOOX OXX,1
X X X OOO,0
OXXOOXXXO,1
OXXXOOXXO,1
OOXXXXOXO,1
  XX OOOX,0
O X  XOX ,1
 XX XOOO ,0
OXOOXXXOX,1
 X  XO XO,1
OOXXXOXXO,1
OXXOXOXXO,1
X OOOXXXO,0
X XOOOXXO,0
 XXOOO X ,0
XXO O OX ,0
XOX  XOXO,1
OX  XXOOX,1
XOXOXOOXX,1
OX OXO XX,1
XXOOXXXOO,1
XOOXO XX ,1
OXX XOX O,1
OOXOXOXXX,1
OXXOXOXXO,1
OOXXX XO ,1
X X OXOXO,1
  XOOX  X,1
OOOXXOX X,0
XOXOXXOOX,1
XX XOXOOO,0
XOOO OXXX,0
OXX OXO X,1
OXOXX X O,1
XOOOX  X ,0
OXOOXXX  ,1
XOOXXXOOX,1
 XOXOXXO ,1
OOOXOXX X,0
OOXXOO XX,0
XOOXXOXXO,1
OOOXX X  ,0
XOOXXXOXO,1
 OXX XOXO,1
XXOXOOXOX,1
OXXOOX  X,1
OXOOXXXXO,1
OXXX OOOX,0
 OXXOXOX ,1
OOXXXXXOO,1
X  XXOXOO,1
OOOXXX OX,0
OXXXOXOXO,1
X XOXOOOX,0
X OOOXXOX,0
 OOOXXXOX,0
OOXXXXOXO,1
OXXX OXO ,1
OOXXX X O,1
OX X  X O,1
OOXXOXXOX,1
XXOOXXOXO,1
XOXOXXOOX,1
XOXXX OOO,0
  XXOOO X,0
OXXXOOXOX,1
 XXOOXXOO,0
XOOO XX  ,0
XOXXOXXOO,1
OOXXOXXOX,1
X X OXOOX,1
 OOOXOXXX,0
XOOOXX XO,0
OXXOXOXOX,1
 XOXOOOXX,0
 OOO XX X,0
 XO OXO X,0
 XX OOOX ,0
OOXXXOOXX,1
X OX  X O,1
OXXOOXXXO,1
XOOXOOXXX,1
 XO OXO X,0
XX OXOOOX,0
OXOXXXOOX,1
XOOXOXXOX,1
XOOXXOXXO,1
OXOOX  XX,1
OOXXX XO ,1
OXOXOXXXO,1
XOOOXXO X,0
OOX X  X ,1
XO XX OXO,1
XXXOOO   ,0
OXOOXXXOX,1
 OOOXXOXX,0
OXXXOXOOX,1
XXXOOXOXO,1
XOOXOOXXX,1
 XOOOXXXO,0
XOXOOXXXO,1
XXOOXXOXO,1
XOOXOOXXX,1
OOOXXO XX,0
OOX OOXXX,0
XXOXOOXOX,1
OXXOXXXOO,1
OXOOX X X,1
OXOXOXXXO,1
XX OOXXOO,0
 OOOXXXOX,0
XOXOOXXOX,1
 X XOOXOX,1
OOX X XXO,1
XXXOOO OX,0
OOXXXXOXO,1
XOXXOXOOX,1
XXXOOX OO,0
 XO OXOX ,0
XXOXO XO ,1
X  XOOOX ,0
OXOXOOXXX,1
XXXOOXOOX,1
 XXOOXO X,1
OXXOOXXOX,1
OXXXOOO X,0
 OXOX X  ,1
OXXXOOXOX,1
OXOOO XXX,0
XOXOXOXOX,1
XO XO X  ,1
