board,winner
XX X OXOOOOO XOOXXOXX X O,0
OXX OOOXOXXXOXOOX X  X O ,1
OXOOXOOXOOX OOXXXXXXXOOOX,0
OXOOOXXOOOX XOXXXOX OXOXX,1
XOXOXXOOXOXOXOXOXOXXOXXOO,1
OXXXOOXOXXXXOXOOOXXOXXOOO,1
OXOOOXOXOXXOX OXOXXXX OOX,1
O OOX  XOX XOXXXXOXOOOXOX,1
XOXOO OO XO OX  XX    X  ,0
OO X OOX  OXX X XXOXOX O ,1
OOOXXXXOOXXXOXO  OOOXOXX ,0
XOOXXX XOXXOXOXX  OOXO OO,1
XOOOOOX XXXOXXXO  X OXOO ,0
 OXXO OX   XOOXOXXXX XOOO,1
XXXOOOXXXOOXOXOO XXOOO XX,1
XOOXOOOXOOOXOXOXXXXXXOXOX,1
OXOXOOXXOXXX XXXOOOOOOXOX,0
XOOXXOOOXOXOXOOO X XXXOXX,1
XOOOXOXXOOXOXXXXOOXOXOXO ,0
XOOXXXOXXOXOOXOXOXXXOOXOO,1
O OXXO XOXXOOOO OXX OXX X,0
  X O  XO OXX O  X  O XOX,1
OXXXXXXOXOOXXXOXXOOOXOOOO,1
XXXO OOXXOO XOXOXOX OOOXX,0
XXOOXXOOOXXXXXOOXOXXOOOXO,1
OOX OO X OXOXX XXOOOXXOXX,1
OOX XX X OX XOOOOX  XX  O,1
XXOX  XOO OXX OOOXX XXO O,1
X  OOXO X XXOOOOXX  OXXOX,1
XOXXXOOOXXXOOXOXOOOO XXOX,0
OXXXOO OXX O X  OOXX  O X,1
XOOXXX XO XXOXO XOO XXOOO,1
O OX XOOXOX X   XOOXXX O ,1
XO  OOXXOOXXXOX OO XOX XO,0
XOOXOXXXOXOOOXXOOXOXXOX O,0
OOXXXOXOXOOXO  XOXXOXXOXO,1
OXXOXOOOOXOXOOXXOXXXXXOOX,1
XXOOXOXXOXXOOOOOOXOX OXXX,0
   OO XXO OOO X OOXX XXX ,0
  XO O XOOX XXO  X   OXOX,1
XXXX OOOXOOOOOOXXOOXXXOXX,0
OOOOXXOOXX   OXXXOXXOXXO ,1
XXXXXXXOXOXOXXOOOXOOOOXOO,1
 XO OXXOOX X XOXXOOXXOXOO,1
OOO OXXOOO XXXXOXXXXXOO O,0
XO XOOXXX XX OOX XO OOOOX,0
XXXXXOOOXOO XOO XO OXXOX ,1
OO XX   XOOXXX   OXO   XO,1
XOO OXXXOOX X XXXX OOOOO ,0
    XO OX O  X X OX X OXO,1
OXOXO OOOXOX X XXXOXOXO  ,0
OXOXOXOOXXOXXXOXOXOOOXOXX,1
OXOOXO OOXXX OXXOOOXXXXXO,1
OXOOXXOXOXOXXXOX XXO XOOO,1
XXXXXOOOXXXOXXOOOXOXOXOOO,1
XXOXO XOO OXOXXXOX  XO O ,1
XOOXOXX  OXOOOXXXXOO OX X,1
OXX X  O XO OXX  XXO XOOO,1
XOXO XOXOOXOOXXOXOXXOOOXX,0
XXXXXXOXOXO OXOXOOXOOOXO ,1
OXOXO OXXOOXOOXXOXXOOXXXO,0
XXXOOOXOOOOXOXXXOXXOXOXOX,1
XOXX  XOOOXOOXOOOOXOX XXX,0
 XO XXOXX OO XO OXOO XXXO,1
O OXO OOXX  XXO  X  XXOOX,1
OXXXOOXOOXXXOOXOXOOOOXXXX,1
O XXXOOOX X OXOO XOOXXOXX,1
 XOXOXXXOOXOOX XXOX XO OO,1
XXXXXOXOXXOOXOOOXXOXXOOOO,1
XOOXXXOXOOX XXO OOXXXOXOO,1
 OO XOXOOOOXOOXXXO XXXOXX,0
O XOOXXX OOXOOXOXO XX XXO,1
XOOOOOXXXOXXXXXOOOXOOOXX ,0
XOXOO XOXXXXXX XOOOXXOOOO,1
O X XOOOXXOOXOOXXXOXXOXOX,1
XXOOX XXO OO OOXOOXOXXOXX,0
   X OO XOO XXXXX OX OOOX,1
XXOXXXOOOXOXOOXOXOXXOXOOX,1
X OOXOOOXOOXXOOXXOO XXXXX,1
   OX O X  OXXO  OX   X  ,1
X XXXOXOOOXOX  XXXOO OXOO,1
OXX XXO OOXO X X  XOX  OO,1
OOXXXXOXOXOOXOXXOXOXXOOOX,1
XO XXOXXOXOXOOXOOXXOXOOOX,0
XOOXOXOXXOOXOXXOOXXXOXOOX,1
X XOXOOXXXOXO O XOXOX OOX,1
O XXXOOXX  OOXXXOOOOXOXOX,0
OOOXOXOXOXOOXO OXXXXXXXO ,1
XXXXOOXOXXOXOXOOOXOXXOXOO,1
  O  X XOOXO OX OO XOX XX,0
 OXOX O OOXXOXXOOOOXXX X ,0
  XXXX  XOO  XXOOOX  OOXO,1
XXXO X XOOXOXO XOXOXOOX O,1
XXXOXOOOOXXOXOOXOXOOX OXX,0
O X XXOOXO O XX OXOXXX OO,1
 OXO OX OOXXXXOOOOX X XX ,1
  XXXXX OO XOX X O  OO OO,0
 X  X O XOXOXOO XOX OOOXX,0
XXXXOXOXO  OO OOX XOOX XO,0
  XXOXXX    XOXO XOOO XOO,1
OOOOOXXOOOXO XX  XXXXOXXO,0
XOOOXOXXXXXOOOXOXOXXOXXOO,1
XOXXOX  O  XOOXOOO  XO XX,0
OOXXOXXXOOXXO XOOOOXXOOXX,0
OOOX X OX OXOX  XX OXO X ,1
XOXOXOOX XO OXXOOXOOXXOXX,1
OOXXOOOOOXXXXOXO O OX XXX,0
OXXOOXXXO   X  XOX   XOOO,1
OX XXXXOXXO OXOXXOOOOO XO,0
OXXOO XXOXXOOOOXXXOO X  X,1
OOOXXOXO X X  XOOOOXXX X ,1
 XXXXXX O OOOOOOXXO XOO X,0
 O OO OOXOOXXOOOXXXX XXX ,0
   OOXX XOXXXXO  OO OOX  ,0
  OXXOOXOOXOXXXXOXOOXOXOX,1
OOXXX XXXXOOOX  O XX OOOO,0
 OOXO XOXXOOXOXXXX XO OXO,1
XXXXOXOOXOOOXX O OXX  OOX,1
XXOOOO O XXO XXOOX  XOXOX,0
XOXXXOOXOOOOXXOXXOXXOOXXO,1
OOXXXXX XO XXO O XO OXOO ,1
OOOXOOXOXXXOOXXOXXOOXXXOX,1
XXXOO OOXXXOXXXOOO OXO OX,0
XOOOOXXXOOO XXO OXXXOOXXX,1
OOOOOOOXXXOOXXOOXXXXXOXX ,0
OXOXXXX OOXXOOXXXO OXXOOO,1
XOOXX OXXXXOOXOOXOOOXOXOX,0
OOXOXXXXXXOOXOXXOXOOOOXXO,1
XOXXOOXOXO   X XXXOOOOXOX,1
OXXXXO XOXXOOOOOOOOXX X X,0
XOOOOXXXOXOOOOXXX XOOXOXX,0
XO OOOXXOOXXXXOXOOOXOXOXX,0
XXO O XO XXOXX  OOOOOXXXO,0
 XOX OOX OXXXXXOO XOXOOO ,0
OOOO XOXOOXOX  XOXXXXXXOO,0
XXOOXXXXOXOXXXOXOXOOOOXOO,1
XOOXOOXOXO XOXXX OXOOOXXX,1
OX XXXOX XOXX OOXXOOOOXO ,1
XXX OOOXX  OXO   XX  XOOO,1
XXXX OOOOO  XXXXOOXOOX O ,0
XX    OXOO OOXXO O OX XX ,0
XXOXOOXXOXXOOOOXXXXOXOOXO,1
XOOXOX    XO XXXO  OXO XO,1
OXXXXXXOOXOOXXXOXOOOOXOOX,1
XXXOXOOXXOOOOOX XXXXOOOOX,0
XXOXXO XXOOXXOOXXOOOOOXXO,0
OOX  OXX  X  OOXOO XXXOX ,1
XOOXXXXOOOXOXXXOOOOOXO XX,0
OOXO OOXXO XX XXX O  X  O,1
XXOOXOOOOO OXXXXXXXOOXXOO,0
 X XXXXXOOOXO  OO OXXO  O,0
OO  X XOOXXX OXO OOXXO XX,1
OOXOXXOXXXOOXXOOXOOXOXXXO,1
XXXO OOOO  O OO  XX X XX ,0
O XX  X OX XX OOOXXO  XOO,1
XXOOOOO X OXOO X  OOXXXXX,0
XOXOXXXOOXOXOXXOXOOXXOXOO,1
OXXXOOXOXX XOOX XX XOOOOO,0
OXOXXOOX XOOXOOXXXXXOOO X,1
XOXXOOOOOX O  O OOXXXXXX ,0
OOXX XXOXOX XOOXO OXXO XO,1
XOO XXXXOXOXXO  OXXOO OXO,1
XOX  XXX XOOOOX XOXOO OOX,0
OOXXOXXOOOXOXO XXX O XOX ,1
  O OX  OXOOO  XOO XXX XX,0
XOXX OOXOOXOOOOXOOOXXXXXX,0
X OXXO XXXXXO OOXOXXOOOOO,0
 OOOOXOXXOOX XOXO XXXOOXX,0
OXXOXOXOXO OOXOXOXOX XX  ,1
XXXOOOOX X XXOO XX O XOO ,1
OOOXXXX OX XXXXOOXOOOOOX ,0
OO X XXXXOOOO XOXOXOXXOOX,0
XOOOXOX OOXXO XXXO       ,0
 OOOOO XXXO XOX OXXO XOXX,0
X    X X OOOOOXXX OOXOX  ,0
XO  XXOO XXXOXOOXOO OOX X,0
OOXOXXOOXOXXXXOXOOXXOXOXO,1
XOOOOXOXXOXXXOXOOXXXXOOXO,1
XXOOOXXOOXXOXXXOX OOOXXOO,0
OOXXXXXOOXX OOXXXXOOOXOO ,1
OXXOX OOXXXXXOOOOOOX OXX ,0
OOX OXOXXXOXXOOOOOOOXXXXX,0
OXOOOOOXXXOX XX XXOO OXXO,0
OXOXOXOX OOX OXXXO XX OOX,1
OXOOXX OXXX  OXXXXOO OXOO,1
XOOXOXOOOOXXXXOXOXOOXXOXX,1
XOOXX OXOOXOOOXOXXXOXOX  ,0
 XOXOO X OXXX OXXOO XO XO,1
OO XOOOXX XXOXXOOXXOOXOXX,1
XOOXOXOXOOXOXOXXXOXXOXOXO,1
X XOO XOXO OX XOXO  XOXO ,0
OOXXOOXOXOOXOOOXXXXOXOXXX,1
OXOOXXOOXXOXOOXXXOOXOXXXO,1
  OXXXXXOXOXXOXOOOOOXXOO ,0
XXXXOXO OXXXO OXO OXO O O,0
X OXO  OXOX  XO XOXOXO X ,1
XOXOXXOOOOXOO  OX XXXXOOX,0
XOOOXXXXOXXOXOOOXOXXOXXOO,1
XOOXXXXXOXXOXXOOO XOOOX O,1
XOOOOXOOXXXOXXXXXOXXOOOOX,1
OX OOXOOO XXOXXOXXXOXXOOX,1
XXOOXXOOOOXO XXXO XOX OX ,1
OXX OXXXXOXOXXXOOOO O XOO,0
OXXXXOXO  XXXO OOOXO XOO ,0
XO XXXO OXO   XO  XOOOXX ,1
OXXXXOOOXO OOOXXX OXO OXX,0
 O X OXXX X O OXOOOOXXXXO,1
XXXXOXOOXOXXOXOXOXOXOOXOO,1
XOOOXO  XXOXOXXOOOXOXXXOX,1
XOOOXXXXOOOOOOO XXOXXXOXX,0
X   X OOXOO XO OXXXXO X O,1
  XX  X  OX  O O OXXOOOX ,0
XXOX XOXXOXO XOOOOXXXOOXO,1
OXOXO   OXXXXOXXXOX OO OO,0
OXOXXXXXOOOXOXOXOOXXXOXOO,1
XXOOXXXOXXXOXO OOXOOXOOOX,0
XX XOOXOX OXOOXXXOXOOXOOX,1
XOXOXXOOXOOXOXOXXOXOOXXXO,1
XO OO XXXO XXOX OOOOOXXX ,0
O OXXOXOXXX    XOOOOOXXXO,0
OOXXXOOOOOOXXOXX OXOXOXXX,0
XO XXX XXOOOOOXX XOXOOXOO,0
   OOOOO OXXX XX  OOXXX  ,0
XXXXO XXXOOXOOOOOXXXOXOOO,0
XXXXOX OOOXOOOOOXOXXXOXOX,0
OXOXOOXOO XOXXXOOOXXOOXXX,0
 OOXXOOXXXOXOOXXOXX OXOOX,1
XX XOOXOXXOOXOOXXO XOXXOO,1
OOXXXXXXOXOOOOXXOXXOOXOOX,1
OOXOOXOXXXXOXOXXXXXOXOOOO,1
XOOX XOOXXOOOXOX XOXOXXXO,1
OOOXXOO XOXOOXXXXXOXO XXO,1
 XOXOXXOXOXXOX OXXXOOOOXO,1
