board,winner
 XXXXOOXXXXO  O OX OOOXXXXOXOO  OXXO OOOXXXX  OOX X OXOX  OXOOXXXXO OOOXXOOXXOX  XOXX   XO  OXXOO XOOXXOXOXOOXXOXOOXOOOOXOOOOXXOXOXX XXOXXOXOXXOXOXOOXO OOOOXOXXXX OOO XO,0
XOXOXOOXOOXXOXXOXXOOXOXXXXOXOOXOXOOXOOOOXOXXOXXOOOXOOOOXXOOOOXOOXOOOXXXXXXOOXXXXOOXOXXOXXOXXOXXOXXOOXOXXOOOOOOOOX OXOXXXOOOXXXXOOOXOXOXXOX OXXXXX XOXOXXOOXOOXXOXXOOOOXOX,0
O OO XXOOOOX OO OXOXOXO XXXOXXXOOXXOOOOOXOXXXOXX XOO XOOOOX OOOOOXOOO OXX OXO OOXXX OOXOOXXOXOOXXXOOXOOOXXX  X XXXXXXXO OOOXXXXX OXXXXXOXO  OOO  XOX  XXOXOOX XOOXO XOXXX,0
OXO OXOOXXOOXXXXOXOOXXO XOOOXOXOOXOXX OXOOOOXXOXXXXOXXOOXXXOOXOXOOOXXXOOXXOOXOOXOXOOOXOOXOXX  OOOOXXXX OOOXXOXOOOXOXOOXXXO XXX XX  XXXOX XOOOOXXOOO  XXXXOXXX X OOOO XXOO,1
XOXO XOOOOXOOXOOXOOO XOXXXXO  OOXOXOXXOXXXXOX OXOOOXXOXOOXOXXXXXXXOXXOOXOXOXXXOOOXOX XOOOXOO OXX XOOXXXXOOXOOXOXOO OXXXOXX XOOXOOOOOXO XXOXOXOOOOXX XXOXOXX OOXOXXOXXO   ,1
OXXXXXXOOXOOOOXO OOOXOOOOXXOOOOOXXOOXXXO OOOXOXXOXOXXXOOXOXOO OOXXXXXOXXXOOXXXOXOOXXXXXXOOXXOOXXXXXOOXOOXXOXXOOOXXXOOXOXXXOOOOOOXOXOOXOOXOOXOOOXXXXXXOXXXOOXOOXXXXOOOXOXO,0
XXXOXXOXX O X X OOXXOXOOX O XXXOOOOOOOOXOXOOXX OX XXOOOOX XO XXOOXOXO OX OXXXOXOOOOXXOXOXOO XXXXOOXX OO OO X XOX XOOXXXOXXXXX OOOOXXOXXOOXOO XX OX XOX OXXOOXOXOOXOOO XO ,0
XXOOXOXXXXOOXXOOXXOXXOXOOXXXXOXXOOXOOOXOOOOOOOXOXOXXXOOOOXXOXXOXXXXOOXXXOXXOOXXXOOXOXOOXOXOOOOOXOXOXXOOOXOOXXOXXXXXOXOOOOOXOOOXXOOXXOXXXOXOOXXOXXOOXOXXXXXXXOXOOOOOOXOXOX,1
OXXXOOOOOXOXOOXXXXOXXOOXOXOO OXXOOXOOXXOX XXOXOXX XXOOXOOOOXOOX XOOOOO XX XOXXXXXOXOOOOOXXXOOO XXXOOXOOXXXOXXOXOOOO OXOXXX XXO OXXOOOOOXXOXXXXOOOOXXX OXOOOOXXXXXXOXOOXXO,0
OO XOX XOXOOOOXOX OXXOXXO  XO X XXOXOXO  X OOXOXXXX O OXOOXOXX  X XXOXOXXX OOXOX O XOOXXXX OXOXXOXXXO O XOXXOO  X  XOOO XXO  OXOO XOXOOOO XO  O XXOOXOO  O  XX XOXO O XOO,1
OOXOOXXO XXOXXOOXXXOXOXOOOXOOXXXOOOXXXXO XXXOOO OOXX OXOXXOXXOOXXOXOXOXOX OX XOXO XOOOXXOXXXXX X OX OXOO XXOX OXXOOOXXOOOXOOO XXXOOOOXOOOXXOOOXO OXXXXOOOOXXOOOXOXXXXXOOX,1
XOOOOOXXXOXOOOOOOOXXXXXOOXXXXXOXXOOOOOOXOXOXOOOXOXXOXXOOXOXXXOOOOOXXXOXOXXXOXOOOXXXOXXOXXXXXXXOOOOOXOXOXXOOXOXOOXXOXXOOOXXXOOXOOOXOXOOXOXXOOXXXOXXXXOXXOXOOOXXOXOOXOXOXOX,1
OOOOX O XOOOOOXOOXXOOXOXOOXOXOOX OO OXXXXXXXXXXOXOX OOOXOOOOOX OXXOXOXX XOXOXOXXOXXXXX XOXOXOO  XX XOOXOOXX OOOOOOXXOOOXXXOOO OXO XXXXXOOXXXXOXOOXOXOXOXXXXX XO XOXO OXOO,0
XOOOOOOXXOOXOOOXXOO OOOXXOOOOOOXOOXOOXXOOOXOOXOXOOOOOOOXOOXXOXOXOOOXXOOOXXXOOOOXXOXXXXXXOOXXOOXOXOXXXXOOOXXXOXOXOOXOOXXXOO XXXOXXOXOOOXXXOX XXXXXXXXXXXOOOX  OOXXXXXXXXXX,0
XOOXXOXXXX O XX OX OOOXOOOXOOOOXOO XXOO OX XXXOOX OOOXOXX X X XOOXXOXOXXXOOOOOOOXOOXOOOOOO XXX OXOXXO XXO  OXOOXXXOO XXOXXX XOO OXOXOXXOOXXXOXX OXXXXOX OXXOO XOXOXXOOXOX,1
OOOOOOX XXXX  XXO XXXXXOXOXX OOOOX XOXOO XOOXOOXO OXOOOX XXOXXOOOOX OOXXXXXOXXOO   XOOOOOOOOXXX XXXOXXXOOXOOXXOOOXXXXOOOOOXXXO OXOXXXXXXOXXXOX XOXOOXOXXOOO XOXXOXXO OOOO,1
XXXOXXOXOXOXOXOOOOOXOXOXXOOOXXOXXOXXXOOXXOOOXXXOOXOOX XXXXOXOXOXOXOXOOOXXXXOXXOOOOXOOXXOOOXOOOXXXXOXXOXXXOOOOOXXXXOOOXOOXOX XXXXOOOXOOOOOXXOXXXXXXXXOXXOOOOO OXOXOOOOOXXO,0
XOOXOXOOXOOOOXOOOXOOXOXOOXXOOOXXXOXXXOOXOXOXXXOOOOXXXXOXXOOXOXXOOOOXOOXOXOXOOOXXOXOOXXOOXOXOOOOXXOOXOXXXOOXXO XOXOOXXXOOOXXXXXOXOOXXXOOXOOXOXOXOOXXOXXXXOXXXOXOXOXXXOXOXX,0
OOOOXOOXOX O XXXOO OOXXOOXXXOO OXOOO OOOXXXXOXOOOOX OXXOXOXOOXOXOOXOX OOXXOO XXOOXX  XXXXXXXX XXXXXXXXXXXXXXOOOOOXXXOOOOXOOOOXOXOXOX OOOXOXXXOXXOOOOOXXXXXOOXXO XOOOXOXOO,0
XXX XOXXOOXOOOXXXXXXOXXOOXXXXXOXXXOXXOOOXXX OXX XO OXXOXOOXOOOXOOXXXOOOXOOOXXXXXOOXOOOOO OOXX OOOXOXOOXXXOOXXXOXOOXXOOXXXOXO OOXOXXOXOOOXOOOOOOXXOXOOXOOX OOXXXXOOOXXOO X,0
XOXOXXOO O XXO XXO   OXXXXO OXOOXOO XOX XOX OXX OOOOOOOXOXOOXO OXOOOXOXOXXXXXOOOXO XXOOX X OXXOOXOX OXXX XXXOXXXO  OXXXX OO  OOXXX X OO XXX XX OXOOXOOO XOO OXOX OXOX OO ,1
XOOXXXOOXOXOXOXXXXXXOOXOXOOOOOXXXOOOXXXX OOOOXOXXXXXOXXOXOXOOXOXXXXXOOOOXOOOXOXXXOXOOXOXXXO XXOXOO OOOXOOXOOXXXO XX XXO XXXXOOOXOOOOO XOOOXOOXXOXOOX XXXXXOOOOOO O XXX OO,0
OXOXOXXO XOXOXXOXOXXXXXXXOOOOXXXXOOOOX XOXXOOOXOXX  OOOXXOX O XX XOX OOOXXXOOOXOXXXX  XOXX XOOOOOOXXXOXX XXX XXX OXOOOXOXXX XXOXOO  OOXXXXOXOXOOOOOOXOXOXOOOOOOOOXO OOXOO,1
XXOOXXOXXXOXXXXX OXOOOXXOX O X XXXOOXOOOXOOOO  XOXOXOOOOXOXXXXXXOO XXOX  OXOXOXXXXX OOXOXOXOXX XXXOOOOO XXOXXOOXOX OOOOO XXOOOO XO OXXOOOXXOO XXOOXOXOOXOXXOX OXXX  OOOXO,1
XOXXXOXOXXXOXOOXOOOOXOXXOOXXOOOOXOOOXOOXOOXXOXXXOOOOXOOOOXXXXXOXXOXXOOXOOXXXXXXXXXOXX OXXXXOXXOOOOOOOOXXOXOOXX OXOXOOOOXXOXOOOOXOOOXOOXOOXOOOOOXX XXOOXXXOX XOXXXOXOXXX X,0
OXX XXOOOXOXOXXOXX XOOOXXOXXOOOOXXOOOXXXXXXOOOOXXOXO OOOXXXXOOXOXXOOXXOOOXOXXOOXXXXXXXXOOOOO XOOXOXXXXOXXOO X OXXOOOXOOOXXXOOXOXXXXXOX XOOOOO XOXXOO XOOOXOXOOXOOX XOOO X,0
XXOO XOOOOXXXOOXOOOXXO XOOOOXXOOXOOOXX XOOXXXO OXXO  OOOXOXXXX XOOOOXOOXXX OXOOOOXXXX XO OOOXXXXOOXOXOOXXOOXXOX XXX OXOOOOXOXXXOX  XOX XXXXOX OXXXOOXXXXOXO OOOXXXOO XOOO,1
OXOXOX XOOOXXX X OXOOOXOOOOXOOOXOXX XOXOX  OOXX  XOOOX  OOXOOXOXXXXXX OXOXOOX  XX O OOX  OO XOOOXXX X XXXOOXOOOOXO OXOOXX OXXOXXXO OOOOX OOOX  XXXOOOOXXX OXXOXOXXXOXXXXO,0
XXXXXXOXOOOOXXOOXXXXOOOXXXXXXXOXOOXXOOX OXXOXOOXXOOXOXXXOOOXXXXOOOOOOOOXOOXOOXXXOOOOXXOOOXXOOXXXOXXOXXOXXXXXXXOXXOXXOXOOOXOXOXXOOXXXOOOOOXXOOXXXOOOXOOOOOOOXOOOXXOOXXOOXO,0
O OOXOXO XXOO OOXO OOOOXO XXX XOOOO XXXOXOO XOOXXOX OXOXX OXXXOXXOOX OXXOXXOOXX XOX O XOXXX  OX  XO O  O O X OX  O XOOXXO O XXX XXX XOOX XOO XXX X OXOOOOOXOOXX  XOX OXOO,1
XO X XOO O  XXXOOOOOXOOXXXOOOOXXOXOXX  OX O O  XX  X OOXOXO O XOO  OXOOXXXOXOOOXXOOOOXOOOXXXXO XOXXOXX OXXXXXXOOXOXXXXXXXOOXXXOXXOXO OX O OOOOOXXOOX X XOOOOOOOXOXOOXXXXX,0
OO XXOOXXOOXOOOOOOOXXXXOOOOOOOOOX XOXXXXOXOOOXXXOOOXXX  XXOOXOOX XOXXXOOXOX  OOOOXOXOXX OOX OOOXXXXXOXOXOXXXOOXXOOXXXXXO XOOOOXOOX XXXXXOOXOXX  XXXOOOXXOXXXO XOOOXXOOXOX,1
XOXOXOXXOXOXO OXOOXOXOXXOOOXXXOOXOOOXXOXXOOXXOOOXXOOXXOOOXOXOXXOXOOOXOOXOOXOXXXOXXXOOXXXXOXOOXXXOOOXXXXXOXXXOOXOOXOOXXOOXOOXOOXOOXXOOXXOXXOOOXXXXOOXXXOXXXXXXOXXOOOOOOOOO,0
XXX XXOXXOOXXXOXOXOO XXOX OX OO XXX OOXO XXOXXXOXXOXOOXOXXOOXX  XXO OOOOOOXOOXXXOXOO OXXX OOOOXXXO XX OOX O XXOOOXO OOXOO XXOOOOXX  XXXOXXXOXOXOXX OOOOOXOXOXXOOOX OOOOX ,0
XXXXXXOXXOXOXOOXOXXXXOXOXOOOXXOXXOXOOOXXOOXOOOXOXOOXXOXXXXOO  XOXX OXOOOXXOOXXOOOOXXXXOXXXOXOXXOXXXXXOOOOXOXXXOOOOOXXOX OXOOXOOXOOO OOOXXOOOOXOXOXOOXXXOXOOXXOOOOOOXXOXXX,0
 OOOXXXOXXXXOOOOOXOXOOO OOXOOXOXX  XO  XX XXXX O  X XXXXXOX XOO  XXOOOXOXOOXX XX X XXOXOOXOXOOOO OXOOOOOOOO OOOXXOXX XXXXOX XX XOOOOXX OXXOXXOXXOXXO XOOXOOOOX OOXXOXXOOO,0
OXXOOOXOXXOO  OXXOXXOXOXOOXOXOOXO OXOXXOXXX XOOOXXO XOOOOXO X X O OXXX XO O O OOXXXX OOXXOXXOO XXXOX XX OOXO  XO XO XXXOXXXXXOX XOO OOO XXO O OOXO  XOOO OO  XXXXXO OOXXO,1
OX XOO XO OOOOOO XOOXXOOXXXOOOOOOOOXXXOXOOOXOOX OOOXOXXXXXXOXOOXOOXXX XOOXOOXXOOXXOOXXXOOOOOOOXXXOXXXOXXXXXOXXXOOXXXOXX XXOOXOOXOOXOOXXXXXOXOOXXOOOOOOXXXXOXXXXXXXOOXXOOO,0
OOXXOXXXOOOOOOXXOOXOXXOOOOOXXOXXXOOXOOOXOOXXOXOOXOOXXOOXXOXXXOOOXXOXXOOXXOXX  XOOOXOXXXOXOOOOXXXXXXXX OXOXOOOOXXOOXOOXXXXOXXXXXOOXOOOXXXXXXOXOOXXOXXOO XXOOXOOOOOXOXXOOOX,1
OX O XXXXXX OXOXOXXOXXO OXXXXOXXXXXXOO XX O OXXO O XOXOXXXOOOOOXOXOOOOX OOO O OOOXOXOOXOOXXXXOXX XXOOX OOOOOXXXXXOOXXXXOOXOOO OXOOXOXOOOXOOXOO XOXXXX XOX XOOX OOO XOXO X,0
OXOO XXXXOXOOXOXXXO OOXXXOXOXXXOXXOXOOOOOXXOOOXOXOXOOXOO OOOOXOXOOOXOOXXOOOXOOXXXXOXXXXXOXOOXOXXOXXXOOOOXOXXXOXXOXXXOOOOXXOXOOXXOOXOXOXOXXXX XXOXOOOOXXXXXOOOO XXOOOOXXXO,0
XOOXXOO  XOXO OOXXOXXOXOOXXOXOXXXXOX XXXOOOXXXO XOXOXOOOXOOOOOO XXOXXOOOO XOO OXXOXOXXXXOXOXXOXXXOXX OO XOOXX XOXXX OOXOXOOX OOX XXXOOOXXOXOXXOXXOOOOOOXOOXXOO OXXOXOOXOX,0
  OO XOX XOXOO OOXX OOXOOOOXXXO XXOOXXOOX XX XOXO O XXOO  O XOXX OOOOOOXXXX XO XOOX  OOXXOOOX OXXXO OOOOXOXXX XOXXXXXO XO  XX OXX OOXO XX XOXO OXXOXOXXXOXOXO OOXOXOXO  O,0
XXO OOXOXX XOOXXXOX  XXOXXX XX XOOO XXOXXOOOO OXOOXXOXO XOX O XXOXOXOOXOOOOX OOX OOOOOXXO   OO X XOXOXXOOXOO X XXXO XO OO XO  XO O XOXOXOXXOO OOXXXXXX OXXOO XOXOXOXXOOXX,1
XOX XOXXOO XXXOXXXOXOOXXOOXXXOX XXOXOOXXOOXXXOOOOOOOOOOOXOOXOXXXXOOOOOXXO O XXXXXOXXOXOOOXXX XXXXXOXOXOOXOXXOXXOXX OXOOXXOOOXXOOOOOOXOOOXXOOXXOXOXXXOXOXOXOOOXOXXOOXOOOOX,0
OX XXX  XO XXXXOX OXOXXOXXXXOXOOOXOOOOXXOX OXOXXOXXXXXOOXOO OOOXOXXXOOOOOOXOXXXOXOX XOXXOXOXX OOOOOOXXOXOOOOOX XXOXOOXX OXOXOO OOOXXOXXXOO OOOOXXXOOXXXOXOXXOXOXOXO OXXXO,1
XXOOOXXOXOOOXOOXXOXOO  XOOXXXX XOOOOXXOOOOXXXXXOO  OXOX  XOXXXOXXOOXOOXOOOOXX X XXXOXXOXOOOXXXXOXOXOO XXXXXXXXO X OO OOOXXXOOXXOOOXXXOO OO OOOXXOO XOOOOXO OX XXXXOOOXOXX,1
 XXO X XXXOOXOXXOOXXXOOXOXXOX XOOOXXOX O XXX OOOXOOXOOOOOOX OX OOXOOXXXXX XOOO OOOXXXOXXOO OXOXOXXOXOXXX XXOOXOXOXXOXOOOO  OX X  OOOOOXXXOXOXXXXX OX XXOOOOOXO OXXO XOOX ,0
XXXOXXOOXOXOXXXXXXXXXOOOOOOXXXXOXOO  OOX XOOOOOO OXXO OOOXOOOOOOXOXXOXXXOXOOXXXOXOXXOOXXOXXOOOOOOXXOX O XXXXXOXOOXOOXX OXO XXXOOXOXXOXOOXOOOOOXXXOXXX  XXOXXOXOOXXX  OOOO,0
XXXXXOOXOXXXOXOOOOOXOXXXOXXOXXOOXOOOOOXXXOXXXXXOOXXOOXOXOOOOXOXOOXXXOOOXXXOXOOXOXOXOOOXOXOX XOOOXOXXOXO OXOXXXOXXOOOOOXOXXOOXOXXOXXOOXXXXXXXOOXOOOOOOOOXXOXXXOOXOX XXOXOO,0
O XXXOOOXXX XOOXOXOXOOOOOOXXXOOOOOOO OOX XOXXO XXOOXOOXXO XOXOOXOXXOOOXOXXOOOOXXOOOX XOXXXXXXOX XOOXX XOXXXOOOXXXXXO OOXXOXX OOOOXXXXXOOXOXXOOOXXX XOOOOXXO OOX OXXXOXOXX,1
X OO OOOXX O  X OOXXOOXOXXXX XXXXO XOX OXXOOOXOOXXOOOOOXXOXOOOXOOXXXOOOXXOXOOOOXOXOX XOXXXXO XOXOXXXXXXOO OOOOXXXO XOXOX XXOXOXOOOXOX OX OXOXOXX  OXXOOOXXXOOXOXXOXOXXOOO,1
  OXXOXXX OXOOXOXOOOX OXO X X  OXOOOOXXXOOXXXXXXXXXXOXOX XXOOOXOOXOX XOXOXXOOOX OOXOXXOXXOOOXOOOXXXOXX OOXOXOOXXOXOXOO OXXXOOXOXXOO XXXXXXXOXXOOOOXOOXXOXOOOXOOOXOXOO OO ,1
O XOOOXOXOXO OXXOXOOOXOXXOXX O  XXXXXOXOXOOXOXOXXXOOXXXOOOOOOOXOXXOOOOOXXXXOX OXOOOXXXO OXOXOOXXXOXXXXOOXOXOXX OXOXXOOXXXOOXOOXXOOO OOXOOXXOXXXOXXO OOOOOXX OX  OXXXXXX O,1
X OX  XOXO XOOXXOXXXO XOOXXXX OOXOXXXOXOXXXOXOOOO XOOOXOOXO O OOXOXXOXXOXOXXXXX XOOOXOOOOXXOXOOXOXOXX   XX XXXXOXOXOOXXOXOXOO OOXOXOO OOXOXXXOOXXXOOX XOOOOOXOOOOXXOOXX X,1
OOOXOXXXOXXXXXOXOOXOXOXOOOXXXOOOOOXXXOOXOX OXXOOXOOXOXXXXXXOXOOOXOXXXOOOXXX OOOXOOXOOOXXOXXXOXOXXXXXOOXXXOOOOXOOOOXOXXXXOXOXOOXOOXXOXXOOOXOOXOXXOOOOOXXOOOOXXOOXXXOXXXXXO,1
OX  OOXX XX X OXOXXO X XXOOO XO O  OO XOXOXXXXX  XOOOOOO OXXO X  XX XXXXO OO OXOXOOX    O  XXO XXX OXOXOO X XOOOXXOOOOOOOXXXX    X OO OOXX XXXOO OX X OOOXO  O OOX XXXXO ,1
OXXOXOOOOXOX XOXOOXOXOXOOXOOXOXOOOXXXOOXXOXXXXXOXOOOOXXXOXOXXXO OXXXO X XOOO  XXXOXXXOOX XXOOOOOOXOXXOXOOXXXOX OOXXXXOXOOOXXO XOXX OXXXXOOXOXOOOOXXXOXOOOOOXOXXOXOXXXOOOO,1
OOXXOOOOXOXOXOOXOXOOOXXOXXOOXOXXXXOXOOXOXOXXXXXXXXO OXXXXXXOOOXOOOOOXOXXXXXOOOOOXXXOOOOXXOXXXOOOXXXOOOXXXOXOXXOXOXXOOOOXOXOOOOOXXOOOXXOXOXXXXOXOOOXXOOXXOXOOOOXOOOXXXXXXO,0
OX XOO OXXOO XXOOXXOOXX XOXOXOXOXXOOOO XXOOOOXOX  X OOXXOOXOOOXX XXXOOXXXXOXOOXXXX OXXXOXOXXOOOOOOXXXOOOXOXXOO OXOXOOXOXOX OX XOOOXXXXX XO XOO XO OOXXX O X OOOXXXOOXOXOX,1
OOXOOOXO XX OXXXOXXOO XOOOOOOXOXX O  OX OOOOXXXXXOXOOXOOXOO OOXX XXXOOXOOOXXOOXOOOXXXOX XOX XOXXOXOOXOOXXXXXOOOX  XXXOXOOXOOOO OO OXXOXXX XOOXX XXOOOOXXXOOXXXOXXXO XOX X,0
XO X OX OOOOOOOXXX OXOOOOOXXX XOOXXXXXOXOXOXOOOXOOOXOXOOXOO OXOOXXXOX OXOXOXOO XOXO OX XXXXOXOOXOOOOOX OOOXXO XXXOXOXXXXOOOOOOXXX OXOXXO XOXOXOOOXX OXXXXX  XXXOXXXXOXOOX,0
OXOO XXXOOOX OXXO XO XOXX XXXO OXO XOOOO X OXOXXO OOO XX XOXXXXOXX XXOOOOXXOOXO  OX X XXOXXO  OOXXOXOXO OXXXOXXXOXXXOXXXOOOXO  OXOOOOOXOO OOOXXXOOXOOXOXOXXOOO XXXO OOXXO,0
XXXXXOOXXXXXXOOOOOXOOXOXXO  XXOXOOXXXXXXOOOOOXOXOOXXXOO O O XOOXXOOXXXXOOXOOOX XOXOXXOO OXOOXXOXOOXXXO OOOXOXXXOOOXXOOXXXXXOXXOXXXOXOXOOXXOOXXOOXOXOXXOXOOOOOOXXOOOOX XOO,0
OOOOX   X  OXXO XOXOXOXO O XO XX X O OOO OXOO X XOOOOXO  OOXX O  XOOO O OXOOOOX OO OXXXXOXX OOXXXXO XXOOX XO  X  X X  XXO  X  X OXXX XO OXXOX X  XXXOXOXXOOX OOXOOXO OXXX,1
 OXOXOXXX XOXXX  OXOOOXOOXXXX OOOXOXOX  OOOXOOOOOOXXOX XOXOX X XOXXXO OXXOOXOXOXXOOOOXXXXX OO  XO OXOXX OXO XOOOOXXXXO XX OXXO OXXXXXOOOOOOXOXXXXXX XO OXXOOOOOXOXOXXOOOO,1
OXXXOXOXOOXOOOXXO XOXXXXOOOOOXOOOXXXOOOOXXOOXX XXOXXXXOXXXXXOXXOOXOXXOOXOXOOXOXOOOXOOOOOXXOXOO XO XOXOXOOOOOOXOXOOXXOXOX XXOXOOOXOXOXOOOOXOXOXXXXOOOXOXXOXXXXXXOXOXOXOXXX,0
XOXXOOXXXOOXOXX OOXXOXOOXO OXXXXXOOXXXOOXXXOOXX XOOOOOOXX XOOO   XOXOXOXXOOOOOXXXXX XOOOXOXXXXOOOXXOXXXO OXXXXOXXXXXXOXOOXXXOOXOXO OOOX OOOOXXOOXOOOOOOOXX XXOOOOXXOXOOOX,1
OOOXXXXXOOXOXOOOXOOOOOXXOOXXXXOXXXXXOOOXXOOOXOOXOXOOXXOXOOOXXXXXOXXXOXOOOOOOXXOXXXOOXOOOOOXXOOXXXOOXOOOOXOOOXXOXXOXXXOOOOXXOXXXXXXOOOOXOOXXXOXXXOXXOOXXOXXXOXXXOOXOOOXOXX,1
XXOXOOXXO XOXXOOOOOOOOXOOOOXXXXOOOXXXXXOXO OXXXXOOOOXXOXXOXXOXXOXXOOOOOOOXOXXOOXXXOOO OOXXXOXOXXXXXXOXOXOXOXXOXOOOXXOXOXOXXO XXXOX OXOXOOOOXOOXXOXOOOXXOXXOOOXXXXOO  XOOX,0
 XXOOXOOOOXXXXXOXOXXOXXOXXXXOXOXXOOXOOXXXXOXXOOOOOOXXOOOXXOXOXXXXOXXOOOXOXXXOOXXOXXOXOOXOOOXXOOOXOOXOOOOOXXXXOXXOXXOXXOOOXXXOXXXOOOOXXOOOXOXXOOOXOXXX XOOXOOOXOXOOOOXXXOO,1
 OOOOXXOOX OX X XO O XXO OOOXOO XXXXXO OXO XXX OX  X OXXOXXOO OXOX OOOX  XOOX OOOXXX XXX OOXO XXX   OOOXOXXOOXXXOXOOXXOOXOO OOXO OXXXOXOXXOOOXOXOX O  OOXXX OX O XXXXO OX,1
OX OOX OXXXXXXXXX XOX XOOOOOXXOO XXOO X XXX XOO XOXXOO XOOOOO XOXXX XXXOXOXOOOOOOXOXXOOXXXOXOOOOXXXOO XXXOOOOXOXXOXOXXXXXXOOOXOXOXOO OOOXXOOO OXXXOXXOOOXOOOXXXO XOOXOXOX,1
OO XXXXXOOXOX XO  OO OXXOXOOXOXX  XOO OOXXOXXOXX OO XXXX XOOXOXOOX OOOXXOXOXOXXXOOOXXOOXXOX  OXOOXOOOXXO OOOOOOXOOXXOOXXXXX  OOXXXXOXOOXOXX  X O OOXOXXXXXOOX OOOXXOX O  ,0
